"Age","Gender","Dependents","Education","Marital Status","Annual Salary","Card Type","Months of Relationship","Products","Iterations 12m","Number of Months Inactive 12m","Transactions Amount 12m","Transactions 12m","Credit Limit"
59,"F",0,"doutorado","casado","menos que $40K","blue",49,5,3,2,1621.73,32,1479.99
34,"F",3,"doutorado","solteiro","nao informado","blue",29,3,4,1,2546.41,55,1617.35
26,"M",0,"sem educacao formal","solteiro","menos que $40K","blue",13,4,4,4,2192.55,36,2237.69
45,"M",4,"graduacao","solteiro","$120K +","blue",40,3,3,3,4686.93,64,2900.46
54,"F",2,"mestrado","casado","nao informado","blue",45,4,2,3,1836.23,37,13126.02
52,"M",2,"doutorado","solteiro","$80K - $120K","blue",40,6,3,1,2030.49,58,8695.54
47,"M",3,"ensino medio","casado","$40K - $60K","blue",41,6,4,3,3902.94,76,6692.24
57,"F",4,"nao informado","casado","menos que $40K","blue",36,3,2,1,1353.12,30,2159.31
34,"M",5,"mestrado","casado","$60K - $80K","blue",27,5,2,2,1850.11,34,2501.74
36,"M",0,"graduacao","casado","$80K - $120K","blue",27,3,2,3,1715.25,39,6338.1
36,"F",0,"sem educacao formal","divorciado","$40K - $60K","blue",30,1,4,3,1412.18,38,2190.99
57,"F",3,"sem educacao formal","casado","$40K - $60K","blue",49,4,3,2,1325.96,29,7578.2
29,"M",1,"doutorado","casado","menos que $40K","blue",18,4,2,3,2523.33,48,2963.01
37,"M",3,"mestrado","casado","$80K - $120K","blue",20,3,3,3,2323.64,47,8260.38
46,"F",2,"mestrado","solteiro","menos que $40K","blue",36,3,3,4,1165.03,35,8309.29
55,"M",0,"ensino medio","casado","$80K - $120K","blue",35,5,4,1,1018.86,32,3864.92
56,"M",3,"mestrado","casado","$80K - $120K","blue",47,6,3,3,1484.34,34,10230.86
32,"M",0,"ensino medio","casado","$120K +","blue",27,3,4,3,695.31,10,22382.75
39,"M",4,"sem educacao formal","casado","$120K +","blue",36,6,2,3,2443.19,70,25790.98
63,"F",1,"mestrado","casado","menos que $40K","blue",53,6,3,1,1959.52,56,2675.25
49,"F",3,"nao informado","divorciado","menos que $40K","blue",38,3,4,3,1771.45,47,1652.35
38,"M",2,"ensino medio","casado","$60K - $80K","blue",26,4,3,1,1604.68,42,5815.24
60,"M",0,"sem educacao formal","casado","menos que $40K","blue",52,5,2,1,1562.88,27,2595.17
38,"M",3,"sem educacao formal","casado","$60K - $80K","blue",36,5,3,2,2269.43,39,3421.64
63,"M",2,"ensino medio","casado","$80K - $120K","blue",51,4,3,2,1449.47,28,6922.63
43,"F",2,"graduacao","casado","menos que $40K","blue",36,6,4,2,1665.68,44,6979.82
39,"F",2,"mestrado","casado","menos que $40K","blue",34,4,4,3,1457.99,43,2594.79
35,"F",4,"ensino medio","solteiro","nao informado","blue",24,5,4,2,2795.71,55,16915
45,"M",2,"graduacao","divorciado","$80K - $120K","blue",39,3,4,4,1041.56,27,34516.73
35,"F",1,"mestrado","casado","$40K - $60K","blue",29,4,2,2,2005.45,50,2523.56
48,"F",3,"mestrado","casado","$40K - $60K","blue",39,2,3,4,1225.43,34,6235.65
26,"M",1,"ensino medio","solteiro","$40K - $60K","blue",13,6,4,2,2099.29,39,1473.78
36,"M",3,"graduacao","casado","$120K +","blue",26,3,3,2,2547.11,45,17116.02
37,"M",2,"graduacao","casado","$80K - $120K","blue",17,5,2,3,2864.57,37,4631.7
39,"M",2,"nao informado","casado","$60K - $80K","blue",19,3,2,3,1602.37,37,3047.57
49,"M",4,"ensino medio","divorciado","$80K - $120K","blue",37,5,2,2,3013.06,83,32338.13
56,"M",3,"sem educacao formal","casado","$60K - $80K","blue",36,5,3,3,1324.73,38,2253.16
45,"M",2,"graduacao","casado","$60K - $80K","blue",38,4,4,6,1960.04,48,16611.51
34,"M",2,"ensino medio","solteiro","nao informado","blue",36,3,2,4,2652.4,61,22886.61
29,"M",0,"nao informado","divorciado","$80K - $120K","blue",14,6,3,3,2435.64,63,3544.52
28,"M",0,"ensino medio","solteiro","menos que $40K","blue",19,3,4,3,2744.1,75,3480.12
65,"F",0,"doutorado","casado","menos que $40K","blue",56,5,2,3,1215.22,22,3549.64
26,"F",1,"graduacao","solteiro","menos que $40K","blue",15,5,4,2,2856.99,39,1438.78
57,"F",3,"sem educacao formal","casado","menos que $40K","blue",36,6,3,2,1260.07,34,3136.05
47,"M",3,"mestrado","solteiro","$120K +","blue",36,6,4,2,1804.19,32,34516.19
54,"F",1,"mestrado","casado","menos que $40K","blue",48,4,2,3,1339.06,30,6814.49
48,"M",2,"nao informado","casado","$120K +","silver",32,3,4,2,3093.28,66,34516.87
36,"F",1,"ensino medio","casado","nao informado","blue",36,6,4,3,1618.1,37,8500.06
43,"M",3,"mestrado","casado","$80K - $120K","blue",33,3,2,3,1013.54,28,28170.37
54,"F",2,"mestrado","solteiro","menos que $40K","blue",48,6,4,1,3328.43,69,6610.43
37,"M",1,"graduacao","solteiro","$60K - $80K","blue",26,6,2,3,2061.48,61,15755.3
33,"M",3,"mestrado","casado","$80K - $120K","blue",36,5,4,3,1567.81,42,2711.14
38,"M",2,"graduacao","casado","$40K - $60K","blue",25,4,4,1,1573.18,35,3735.52
36,"M",4,"mestrado","solteiro","$80K - $120K","blue",36,5,2,3,2568.19,69,10216.7
40,"F",3,"mestrado","casado","nao informado","blue",28,6,2,1,1804.74,41,20420.56
37,"M",2,"mestrado","casado","$120K +","blue",30,2,4,4,725.03,22,13662.61
26,"F",0,"ensino medio","solteiro","nao informado","blue",13,4,3,3,2243.15,38,3038.59
45,"M",3,"ensino medio","solteiro","$60K - $80K","blue",35,5,3,3,1236.3,36,7050.46
26,"M",0,"ensino medio","solteiro","menos que $40K","blue",13,6,4,1,2169.34,43,1775.18
42,"M",3,"mestrado","solteiro","$40K - $60K","blue",30,6,2,2,1488.66,26,8960.26
33,"M",2,"graduacao","casado","$80K - $120K","blue",36,3,2,1,1765.86,27,2355.64
57,"F",4,"ensino medio","casado","$40K - $60K","blue",47,5,4,2,1476.64,30,6803.46
55,"M",2,"mestrado","casado","$60K - $80K","blue",50,5,4,2,1275.28,31,2145.28
40,"M",3,"sem educacao formal","solteiro","$80K - $120K","blue",36,5,3,2,1872.01,51,3919.26
32,"M",1,"ensino medio","solteiro","menos que $40K","blue",23,3,3,2,2439.01,63,4500.55
62,"F",1,"ensino medio","casado","menos que $40K","blue",54,3,4,3,1453.56,27,2941.94
26,"M",0,"mestrado","solteiro","$60K - $80K","blue",13,3,3,3,2411.25,41,7102.92
37,"M",3,"ensino medio","casado","menos que $40K","blue",26,3,4,3,862.91,13,6866.7
57,"M",1,"doutorado","casado","$80K - $120K","blue",52,3,3,2,1306.84,32,10378.39
47,"F",3,"ensino medio","casado","nao informado","blue",43,4,2,3,1593.98,46,13473.25
47,"M",4,"mestrado","casado","$80K - $120K","blue",34,6,3,3,1837.54,37,18178.13
48,"F",2,"mestrado","solteiro","nao informado","blue",43,5,4,3,1909.71,52,8171.96
49,"F",4,"sem educacao formal","casado","menos que $40K","blue",36,6,3,3,2170.61,41,1438.83
35,"M",3,"mestrado","casado","$80K - $120K","blue",20,5,4,3,1725.35,29,8082.96
57,"M",3,"nao informado","divorciado","$60K - $80K","blue",48,5,3,2,4291.31,78,24589.92
62,"F",0,"mestrado","solteiro","nao informado","silver",49,5,2,1,3703.36,91,30310.45
55,"F",2,"graduacao","casado","menos que $40K","blue",36,6,4,3,2177.24,59,2967.8
36,"M",2,"mestrado","casado","$60K - $80K","blue",17,5,3,2,2883.89,61,3092.44
54,"M",1,"ensino medio","casado","$80K - $120K","blue",42,5,2,3,1515.06,31,1618.11
30,"F",0,"mestrado","casado","menos que $40K","blue",23,5,3,2,2048.09,35,2498.35
46,"M",3,"mestrado","casado","$40K - $60K","blue",41,5,2,2,2038.27,45,2564.8
43,"M",3,"mestrado","casado","$80K - $120K","blue",34,3,4,4,1980.48,45,10540.39
34,"M",2,"mestrado","casado","$120K +","blue",28,4,3,3,1899.32,33,13384.13
55,"M",3,"mestrado","casado","$80K - $120K","blue",48,5,4,2,1842.85,56,16208.79
36,"F",2,"nao informado","casado","menos que $40K","blue",27,3,4,3,2617.73,48,3049.91
44,"M",1,"mestrado","casado","$80K - $120K","blue",33,5,3,4,3407.09,47,19214.17
39,"M",2,"nao informado","casado","$60K - $80K","blue",25,5,3,2,1765.96,36,3071.26
34,"M",2,"mestrado","solteiro","$80K - $120K","blue",29,3,3,1,2650.58,69,13395.43
40,"M",3,"mestrado","casado","$60K - $80K","blue",31,6,4,3,3891.88,79,17126.12
42,"M",2,"graduacao","solteiro","$60K - $80K","blue",36,5,2,3,3942.18,84,8083.38
36,"M",3,"mestrado","divorciado","$40K - $60K","blue",28,4,3,2,2398.78,61,8995.95
26,"F",1,"ensino medio","solteiro","menos que $40K","blue",13,3,3,2,2692.07,63,2404.95
42,"M",1,"ensino medio","casado","$40K - $60K","blue",32,4,2,2,1346.93,26,2807.12
55,"M",0,"mestrado","casado","$40K - $60K","blue",36,3,2,3,1390.76,24,3097.29
45,"M",3,"nao informado","solteiro","$80K - $120K","blue",37,6,2,2,2073.47,54,10651.53
61,"M",2,"ensino medio","solteiro","$60K - $80K","blue",47,5,3,2,3994.13,64,2175.14
41,"M",4,"graduacao","casado","$120K +","blue",28,5,0,3,1723.69,36,28020.01
35,"F",1,"mestrado","solteiro","menos que $40K","blue",23,4,3,3,3116.07,80,2640.69
34,"M",2,"mestrado","solteiro","$120K +","blue",27,3,4,1,2555.26,62,31313.86
37,"M",2,"ensino medio","casado","$80K - $120K","blue",31,3,4,2,2717.91,63,7304.46
46,"M",2,"sem educacao formal","nao informado","$60K - $80K","blue",32,6,3,2,967.76,24,3254.13
26,"M",1,"graduacao","divorciado","$40K - $60K","blue",21,3,2,3,2660.89,89,1438.65
54,"F",3,"ensino medio","casado","menos que $40K","blue",41,5,4,4,2412.06,62,3161.25
47,"F",3,"mestrado","solteiro","menos que $40K","blue",36,5,4,3,777.75,13,7246.31
56,"F",5,"mestrado","casado","menos que $40K","blue",36,5,4,4,2292.65,54,3088.3
42,"F",4,"nao informado","solteiro","menos que $40K","silver",32,6,2,3,3774.21,63,13719.28
30,"M",1,"nao informado","casado","$40K - $60K","blue",18,5,3,1,1723.13,31,4726.75
32,"M",1,"nao informado","casado","menos que $40K","blue",36,5,3,3,1668.34,32,6100.37
40,"M",2,"ensino medio","solteiro","$80K - $120K","blue",28,6,4,2,1777.67,56,19279.21
33,"F",1,"mestrado","casado","menos que $40K","blue",20,3,4,2,1888.94,39,3792.24
64,"M",0,"mestrado","casado","menos que $40K","blue",53,3,4,3,1597.48,37,2084.28
33,"M",1,"ensino medio","solteiro","$80K - $120K","blue",28,4,3,3,2804.64,70,34516.18
52,"M",3,"doutorado","casado","$80K - $120K","blue",43,5,2,2,1651.45,43,6849.88
59,"F",0,"sem educacao formal","casado","menos que $40K","blue",39,6,4,3,2367.77,50,2417.27
41,"F",4,"sem educacao formal","solteiro","nao informado","blue",33,6,3,4,3386.99,53,5802.91
38,"M",2,"nao informado","casado","$40K - $60K","blue",31,3,2,2,2399.96,57,2919.58
29,"M",2,"mestrado","divorciado","menos que $40K","blue",20,4,2,1,2320.65,57,2462.87
43,"F",3,"doutorado","casado","nao informado","blue",38,3,2,4,2120,52,1947.76
40,"M",3,"ensino medio","solteiro","$80K - $120K","blue",29,2,4,2,2395.68,45,18563.58
37,"F",1,"mestrado","casado","menos que $40K","blue",36,3,3,3,2181.77,32,3992.26
32,"M",1,"ensino medio","casado","menos que $40K","blue",14,4,2,2,1913.48,35,3568.67
36,"M",2,"mestrado","solteiro","$60K - $80K","blue",27,3,2,3,3063.17,87,7776.33
58,"M",0,"ensino medio","nao informado","$40K - $60K","blue",42,3,3,2,1088.65,22,1438.31
53,"M",3,"ensino medio","casado","$80K - $120K","blue",36,3,3,3,1138.35,38,9355.73
37,"F",3,"nao informado","solteiro","nao informado","blue",32,3,4,4,2595.19,58,19636.49
47,"M",2,"nao informado","solteiro","$40K - $60K","blue",36,6,3,3,1788.81,46,7327.73
36,"M",1,"sem educacao formal","solteiro","$120K +","blue",25,6,2,3,2602.45,51,7049.99
26,"F",0,"sem educacao formal","solteiro","$40K - $60K","blue",18,4,2,3,2236.94,55,2033.93
38,"F",1,"mestrado","casado","$40K - $60K","blue",20,5,3,1,3095.49,63,5153.12
32,"F",0,"ensino medio","casado","$40K - $60K","blue",22,4,2,2,2397.65,41,2062.95
37,"F",3,"mestrado","solteiro","menos que $40K","blue",31,3,4,3,2439.16,61,2005.21
26,"M",1,"nao informado","solteiro","menos que $40K","blue",13,6,3,2,2225.13,44,2479.88
55,"F",1,"mestrado","casado","$40K - $60K","blue",46,5,4,4,1569.25,33,4589.49
35,"M",2,"nao informado","casado","$80K - $120K","blue",36,6,2,2,1927.28,47,2263.38
58,"M",3,"ensino medio","casado","$60K - $80K","blue",46,5,2,3,2140.99,49,8184.35
32,"M",0,"mestrado","solteiro","nao informado","blue",27,6,3,3,2522.99,68,9238.23
47,"M",3,"ensino medio","casado","$80K - $120K","blue",36,6,3,3,3503.39,65,30210.76
32,"M",0,"mestrado","solteiro","menos que $40K","blue",26,6,3,3,2657.12,71,6942.3
56,"M",3,"ensino medio","casado","$60K - $80K","blue",37,3,3,3,1373.61,35,14551.09
34,"F",2,"doutorado","solteiro","menos que $40K","blue",13,5,2,1,2557.89,67,1438.44
65,"M",0,"nao informado","solteiro","nao informado","blue",56,3,2,2,2758.57,56,11332.66
55,"M",2,"sem educacao formal","casado","$120K +","blue",48,5,3,2,1473.66,35,30967.98
43,"M",0,"ensino medio","casado","$80K - $120K","blue",36,5,3,3,2843.72,53,7866.76
31,"M",2,"graduacao","casado","menos que $40K","blue",21,6,4,2,2570.69,49,2718.87
54,"F",1,"graduacao","casado","menos que $40K","blue",36,4,4,2,1446.01,22,3084.76
52,"M",3,"mestrado","casado","$80K - $120K","blue",42,5,4,2,1181.31,30,17302.43
48,"M",3,"graduacao","divorciado","$40K - $60K","blue",36,3,3,3,1426.96,34,12159.91
54,"F",1,"ensino medio","solteiro","menos que $40K","blue",47,6,3,4,1566.91,36,2797.09
33,"M",1,"sem educacao formal","solteiro","$60K - $80K","blue",28,6,4,3,3319.74,86,2618.46
26,"F",0,"doutorado","solteiro","menos que $40K","blue",15,3,3,2,1134.53,26,1442.04
30,"F",2,"sem educacao formal","casado","menos que $40K","blue",24,4,1,2,1859.25,43,2063.1
49,"F",5,"mestrado","casado","menos que $40K","blue",43,4,3,2,2223.42,72,8154.24
36,"F",2,"nao informado","divorciado","$40K - $60K","blue",20,4,2,3,2967.44,80,9735.18
56,"M",4,"nao informado","casado","$80K - $120K","blue",49,3,2,4,1645.28,33,4310.31
53,"M",3,"sem educacao formal","casado","$80K - $120K","blue",36,3,1,3,2197.52,45,11450.04
39,"M",2,"sem educacao formal","casado","$120K +","blue",26,2,4,3,809.53,15,8907
34,"M",3,"graduacao","casado","$60K - $80K","blue",23,5,2,3,1534.35,34,4245.82
53,"M",2,"graduacao","casado","$80K - $120K","blue",45,4,4,4,1413.17,37,21953.83
32,"M",0,"mestrado","solteiro","$40K - $60K","blue",21,6,3,1,2659.02,63,1614.5
39,"M",2,"mestrado","casado","$80K - $120K","blue",22,5,2,4,1842.02,36,5140.58
57,"M",1,"ensino medio","casado","$120K +","blue",46,3,4,3,1515.92,36,31762.57
48,"F",4,"mestrado","solteiro","nao informado","blue",40,4,4,4,2997.64,56,11692.37
37,"M",3,"nao informado","casado","$60K - $80K","blue",30,6,4,2,2599.63,47,16043.2
36,"M",1,"mestrado","casado","$80K - $120K","blue",32,4,3,4,2916.6,50,15488.47
39,"M",3,"graduacao","divorciado","$40K - $60K","blue",34,3,2,3,4157.4,58,2503.98
31,"M",0,"mestrado","divorciado","menos que $40K","blue",36,4,2,3,2670.67,50,3312.89
31,"M",2,"mestrado","solteiro","$40K - $60K","blue",36,3,4,2,2221.13,57,6269.39
36,"M",4,"mestrado","solteiro","$60K - $80K","blue",36,3,1,2,2460.93,74,20337.79
47,"F",5,"mestrado","solteiro","menos que $40K","blue",42,4,4,2,1698.56,41,2224.99
37,"M",3,"graduacao","casado","$60K - $80K","blue",19,2,4,3,694.36,12,3100.72
38,"M",2,"nao informado","divorciado","$60K - $80K","silver",26,4,0,2,2167.61,57,26437.24
39,"M",2,"mestrado","casado","$80K - $120K","blue",27,4,2,2,2760.16,44,9959.58
39,"M",1,"nao informado","solteiro","$80K - $120K","blue",36,5,3,3,1753.77,43,25008.31
37,"M",3,"mestrado","casado","$40K - $60K","blue",36,3,3,3,1678.6,36,2031.88
58,"M",1,"mestrado","casado","$80K - $120K","blue",49,6,2,4,1887.35,60,1654.76
58,"F",2,"mestrado","casado","menos que $40K","blue",39,3,3,4,1535.42,31,4608.35
37,"M",3,"mestrado","casado","$40K - $60K","blue",36,6,1,4,1903.38,30,3908.22
54,"M",3,"mestrado","casado","$80K - $120K","blue",46,4,2,3,2631.04,55,2798.79
45,"F",3,"sem educacao formal","solteiro","menos que $40K","blue",39,5,1,4,3753.21,63,2551.03
36,"F",2,"mestrado","casado","nao informado","blue",26,5,2,2,1989.22,37,8621.53
53,"M",3,"mestrado","casado","$40K - $60K","blue",43,6,2,4,2165.44,49,7451.67
34,"F",1,"graduacao","casado","menos que $40K","blue",30,3,3,3,2003.83,47,2617.16
35,"M",4,"mestrado","casado","$80K - $120K","blue",24,6,4,3,717.88,18,12634.76
32,"M",3,"mestrado","casado","$40K - $60K","blue",18,5,3,3,1921.42,43,6407.88
38,"M",2,"sem educacao formal","casado","menos que $40K","blue",27,6,4,2,2412.63,58,1438.35
37,"M",3,"sem educacao formal","casado","$80K - $120K","blue",28,6,2,2,2487.15,52,2672.05
37,"F",3,"ensino medio","casado","nao informado","blue",36,6,4,3,2792.5,51,11948.18
47,"F",2,"mestrado","solteiro","menos que $40K","blue",36,3,3,3,2170.67,63,2677.95
52,"F",3,"doutorado","solteiro","nao informado","blue",36,3,1,2,4776.58,63,24703.57
54,"M",3,"ensino medio","casado","$60K - $80K","blue",43,6,4,3,1518.82,36,2240.45
53,"M",3,"graduacao","casado","$80K - $120K","blue",40,4,4,4,1476.62,37,6052.57
33,"F",3,"graduacao","solteiro","menos que $40K","blue",23,6,1,4,2256.74,70,2562.42
49,"M",2,"mestrado","casado","$60K - $80K","blue",43,4,4,4,1848.19,49,15377.39
37,"M",0,"doutorado","casado","$120K +","blue",22,3,4,3,850.96,18,8654.1
31,"M",1,"sem educacao formal","casado","$40K - $60K","blue",24,5,3,2,2308.57,49,1438.66
43,"M",3,"mestrado","solteiro","$120K +","blue",31,3,3,3,1867.51,45,1438.89
39,"M",1,"sem educacao formal","casado","$80K - $120K","blue",26,6,3,2,1923.73,49,16040.32
38,"M",2,"ensino medio","casado","$40K - $60K","blue",36,3,1,3,1600.97,45,2801.53
62,"F",1,"sem educacao formal","casado","menos que $40K","blue",49,5,2,4,1809.06,41,2658.71
58,"F",1,"nao informado","casado","$40K - $60K","blue",48,3,2,3,1208.78,38,12423.75
39,"F",2,"ensino medio","casado","nao informado","blue",27,6,3,1,2201.04,46,9347.77
30,"M",2,"graduacao","divorciado","$40K - $60K","blue",22,3,4,3,2510.95,57,3143.57
46,"M",4,"doutorado","casado","$80K - $120K","blue",39,3,1,3,3784.73,74,5106.85
39,"M",2,"graduacao","casado","$60K - $80K","blue",31,6,2,3,1683.1,34,9871.43
53,"F",1,"graduacao","casado","$40K - $60K","blue",43,4,2,4,1911,47,1525.98
34,"M",1,"sem educacao formal","casado","$120K +","blue",36,6,1,2,2286.73,39,19630.2
54,"F",0,"mestrado","divorciado","menos que $40K","silver",36,4,1,3,3360.6,56,12547.47
54,"M",3,"ensino medio","solteiro","$80K - $120K","blue",36,4,3,1,2047.74,46,17686.01
39,"M",2,"sem educacao formal","casado","$60K - $80K","blue",28,6,5,3,1534.25,35,3257.61
36,"F",3,"mestrado","casado","menos que $40K","blue",28,4,2,3,1516.18,32,4824.78
38,"M",3,"ensino medio","casado","$40K - $60K","blue",32,6,2,6,1758.22,40,8603.93
45,"M",4,"nao informado","casado","$60K - $80K","blue",36,6,1,1,4014.54,70,11498.34
28,"F",0,"mestrado","divorciado","menos que $40K","blue",23,5,3,1,2947.79,87,3818.37
37,"F",1,"ensino medio","solteiro","nao informado","blue",36,6,2,2,2134.16,47,16594.43
57,"M",0,"mestrado","casado","$40K - $60K","blue",48,4,2,2,1546.95,36,5387.62
48,"F",4,"mestrado","casado","menos que $40K","blue",36,5,1,1,1545.92,21,2930.45
33,"M",0,"nao informado","solteiro","$40K - $60K","blue",36,6,1,1,2878.76,65,10023.1
38,"M",1,"sem educacao formal","casado","$60K - $80K","blue",25,6,3,2,2261.69,37,9303.42
36,"M",3,"nao informado","casado","$60K - $80K","blue",36,4,2,2,1896.42,31,2956.48
37,"M",2,"ensino medio","casado","$60K - $80K","blue",30,4,2,1,1941.58,58,2218.97
36,"M",1,"nao informado","casado","$80K - $120K","blue",26,6,1,2,2021.17,41,9959.46
54,"F",3,"sem educacao formal","casado","$40K - $60K","blue",49,5,2,3,1435.1,29,5335.04
52,"M",1,"mestrado","casado","$60K - $80K","blue",43,3,2,3,1159.25,26,7187
53,"F",1,"mestrado","casado","menos que $40K","blue",39,5,4,2,1188.6,40,2590.76
27,"F",1,"ensino medio","solteiro","menos que $40K","blue",19,4,3,1,2236.59,57,4255.75
32,"F",0,"ensino medio","casado","menos que $40K","blue",26,6,3,2,1680.58,33,2778.05
57,"M",4,"mestrado","casado","$120K +","blue",51,4,1,3,1180.52,29,10711.17
58,"M",2,"sem educacao formal","solteiro","$120K +","blue",46,2,4,3,2171.93,48,16163.43
54,"F",2,"ensino medio","casado","menos que $40K","blue",45,6,1,1,1454.35,30,2513.92
45,"M",3,"mestrado","divorciado","$60K - $80K","blue",37,4,1,1,1984.93,38,3291.67
36,"F",2,"doutorado","divorciado","menos que $40K","blue",25,5,4,2,3327.01,80,8917.07
39,"F",2,"mestrado","casado","$40K - $60K","blue",29,3,2,5,1824.54,38,4955.34
39,"F",1,"mestrado","casado","$40K - $60K","blue",30,6,2,1,1532.34,26,2909.41
34,"M",3,"ensino medio","solteiro","$80K - $120K","silver",21,6,3,4,2901.02,75,34516.14
54,"F",2,"sem educacao formal","casado","$40K - $60K","blue",43,5,1,1,1707.79,41,1438.83
54,"M",2,"ensino medio","casado","$80K - $120K","blue",49,3,4,1,1903.75,49,14015.45
36,"M",2,"mestrado","casado","$60K - $80K","blue",28,6,2,2,2384.07,61,2540.06
37,"M",2,"ensino medio","divorciado","$120K +","blue",24,4,2,2,2337.05,61,3497.44
27,"M",0,"sem educacao formal","casado","$40K - $60K","blue",15,4,4,3,1826.26,35,3682.57
55,"F",4,"mestrado","solteiro","menos que $40K","blue",41,6,1,2,3395.24,70,4430.35
26,"M",0,"nao informado","solteiro","nao informado","blue",16,5,2,3,2473.44,33,3877.25
56,"M",1,"mestrado","casado","$60K - $80K","blue",36,3,3,2,1850.79,44,15124.59
58,"F",2,"mestrado","casado","menos que $40K","blue",53,5,1,3,1574.6,34,7712.78
42,"F",2,"mestrado","nao informado","nao informado","blue",34,5,2,2,1792.62,48,19373.1
30,"M",1,"graduacao","solteiro","nao informado","blue",13,3,3,3,2567.22,70,21590.83
38,"M",1,"ensino medio","casado","$60K - $80K","blue",32,4,1,2,2758.55,55,3657.88
47,"F",2,"sem educacao formal","divorciado","nao informado","silver",35,3,4,1,3725.59,60,32444.18
33,"F",1,"mestrado","solteiro","$40K - $60K","blue",24,5,2,1,2263.43,60,5830.93
54,"F",2,"doutorado","casado","menos que $40K","blue",47,3,3,4,1154.13,22,1438.54
65,"F",1,"mestrado","solteiro","nao informado","blue",55,5,4,2,2336.11,49,6463.89
33,"M",2,"ensino medio","solteiro","$60K - $80K","blue",23,4,1,2,2677.8,70,2400.4
44,"F",1,"doutorado","divorciado","menos que $40K","blue",39,5,4,2,1701.28,33,2311.41
57,"F",3,"nao informado","casado","$40K - $60K","blue",48,4,2,2,1344.51,37,3585.61
34,"M",3,"sem educacao formal","casado","$80K - $120K","blue",25,6,2,3,1893.66,36,9131.45
63,"F",0,"sem educacao formal","solteiro","$40K - $60K","blue",56,3,4,6,3631,71,1438.32
37,"F",3,"ensino medio","solteiro","menos que $40K","blue",31,5,3,1,2075.78,66,1438.31
39,"M",2,"doutorado","casado","$60K - $80K","blue",36,6,2,3,1992.83,46,5471.9
39,"M",2,"ensino medio","casado","$80K - $120K","blue",34,6,3,3,1961.31,32,8823.62
55,"M",1,"mestrado","casado","$60K - $80K","blue",44,6,4,2,1485.47,26,2173.87
37,"M",2,"mestrado","solteiro","$120K +","blue",25,3,0,3,1564.36,31,5616.16
57,"M",1,"doutorado","casado","$80K - $120K","blue",51,5,2,2,1397.97,28,8571.69
45,"F",2,"mestrado","divorciado","menos que $40K","blue",36,6,3,6,3347.94,71,2804
53,"M",4,"mestrado","casado","$80K - $120K","blue",36,3,2,2,1417.3,30,3924.93
37,"M",2,"mestrado","solteiro","$60K - $80K","blue",23,6,2,1,2553.03,61,5663.96
60,"F",0,"sem educacao formal","casado","menos que $40K","blue",49,3,2,1,1560.12,43,3955
29,"F",0,"sem educacao formal","solteiro","menos que $40K","blue",23,5,4,3,2208.21,56,7997.73
56,"F",4,"sem educacao formal","casado","menos que $40K","blue",36,4,5,1,1561.35,39,3652.36
37,"M",2,"mestrado","casado","$80K - $120K","blue",27,4,1,2,1992.28,40,12702.33
43,"M",1,"ensino medio","casado","$60K - $80K","blue",23,4,2,3,1935.41,52,7189.93
58,"M",1,"mestrado","casado","$80K - $120K","blue",42,4,1,3,1913.67,49,12421.18
29,"F",0,"doutorado","divorciado","menos que $40K","blue",17,3,4,2,3519.95,73,2585.42
38,"M",2,"ensino medio","casado","$120K +","blue",29,4,2,1,2916.55,45,2818.93
65,"M",1,"nao informado","solteiro","menos que $40K","blue",36,3,4,4,1593.07,35,2351.21
62,"F",1,"mestrado","casado","menos que $40K","blue",49,4,2,2,1323.17,25,3143.28
53,"M",1,"mestrado","nao informado","$80K - $120K","blue",42,5,4,5,3084.47,63,6514.93
26,"F",0,"mestrado","solteiro","$40K - $60K","blue",17,5,3,3,2740.26,62,3119.47
46,"F",3,"ensino medio","solteiro","menos que $40K","silver",39,1,4,0,936.35,25,13092.13
51,"F",1,"graduacao","casado","$40K - $60K","blue",44,4,1,2,2207.57,68,1438.9
39,"M",2,"sem educacao formal","casado","menos que $40K","blue",34,4,4,2,2585.43,64,3702.14
51,"F",1,"ensino medio","casado","nao informado","blue",36,3,3,2,1347.21,27,9095.6
59,"M",2,"ensino medio","casado","$40K - $60K","blue",50,6,2,3,1469,36,2701.69
56,"M",3,"nao informado","casado","$40K - $60K","blue",45,6,4,2,1468.49,32,1813.08
56,"F",2,"mestrado","casado","nao informado","blue",36,3,2,3,1454.92,43,5335.92
31,"M",1,"mestrado","casado","$40K - $60K","blue",20,6,5,2,1615.79,36,2469.41
37,"M",0,"ensino medio","divorciado","$40K - $60K","blue",36,3,5,1,2572.34,65,3091.98
36,"M",2,"ensino medio","solteiro","$40K - $60K","blue",32,3,2,5,2373.9,73,2683.09
26,"F",1,"nao informado","solteiro","nao informado","blue",15,3,3,4,2474,46,5464.79
61,"F",0,"mestrado","casado","menos que $40K","blue",53,4,2,1,1479.29,28,2942.91
26,"M",0,"ensino medio","solteiro","menos que $40K","blue",36,6,3,3,2441.92,58,2735.93
35,"M",2,"graduacao","casado","$80K - $120K","blue",36,5,4,2,2079.67,57,15279.88
53,"M",3,"graduacao","casado","$120K +","blue",43,4,5,2,2248.66,51,14938.19
59,"M",2,"ensino medio","casado","menos que $40K","blue",42,3,5,3,1580.47,54,4328.73
